uniprot_id,pdb_id,accession,all_goa_terms,chain_id
14332_ARATH,8QTC,Q01525,"GO:0009742, GO:0045309",A
14336_ARATH,8QT5,P48349,"GO:0005634, GO:0005737, GO:0005829, GO:0005886, GO:0009409, GO:0009742, GO:0045309, GO:0045732, GO:0050826, GO:1990756",A
1433B_HUMAN,2BQ0,P31946,"GO:0004860, GO:0004864, GO:0005634, GO:0005737, GO:0005829, GO:0019899, GO:0019904, GO:0035332, GO:0042308, GO:0042802, GO:0042826, GO:0045744, GO:0045944, GO:0048471, GO:0050815, GO:0051219, GO:0060243, GO:0140311",A
1433B_MOUSE,5WFU,Q9CQV8,"GO:0005829, GO:0006605, GO:0019904",A
1433E_HUMAN,2BR9,P62258,"GO:0000165, GO:0002753, GO:0005246, GO:0005634, GO:0005737, GO:0005783, GO:0005829, GO:0015459, GO:0019855, GO:0019899, GO:0030007, GO:0031625, GO:0031966, GO:0034122, GO:0034504, GO:0034605, GO:0035332, GO:0035556, GO:0035591, GO:0042802, GO:0042826, GO:0044325, GO:0046827, GO:0046982, GO:0050815, GO:0051219, GO:0051480, GO:0060306, GO:0070972, GO:0086013, GO:0086091, GO:0097110, GO:0140311, GO:1901379, GO:1905913",A
1433F_HUMAN,2C63,Q04917,"GO:0002028, GO:0005739, GO:0005829, GO:0005886, GO:0006713, GO:0014704, GO:0017080, GO:0019899, GO:0035259, GO:0042802, GO:0042921, GO:0044325, GO:0045893, GO:0046982, GO:0086010",A
1433F_MOUSE,5YQG,P68510,"GO:0003779, GO:0005737, GO:0005829, GO:0006886, GO:0014704, GO:0019904, GO:0044325, GO:0050774, GO:0098793, GO:0098978, GO:0099171, GO:0150048",A
1433G_HUMAN,2B05,P61981,"GO:0002842, GO:0005080, GO:0005159, GO:0005634, GO:0005759, GO:0005829, GO:0022409, GO:0032880, GO:0042149, GO:0042802, GO:0045664, GO:0048167, GO:0050870, GO:0140031, GO:0140311, GO:1904262",A
1433_GIAIC,4F7R,E2RU97,"GO:0003779, GO:0005634, GO:0005635, GO:0005737, GO:0005783, GO:0005819, GO:0005856, GO:0005930, GO:0019900, GO:0030010, GO:0030036, GO:0031514, GO:0042802, GO:0042803, GO:0050815, GO:0051219, GO:0051289, GO:0051495, GO:0070207, GO:0097298",A
1433S_HUMAN,1YWT,P31947,"GO:0001836, GO:0005615, GO:0005634, GO:0005737, GO:0005829, GO:0006469, GO:0008426, GO:0008630, GO:0022407, GO:0032880, GO:0042802, GO:0045785, GO:0045824, GO:0050815, GO:0097225, GO:0140311, GO:1903077, GO:1903829",A
1433T_HUMAN,2BTP,P27348,"GO:0005634, GO:0005737, GO:0005829, GO:0032991, GO:0042802, GO:0045892",A
1433Z_HUMAN,1IB1,P63104,"GO:0000122, GO:0005634, GO:0005654, GO:0005737, GO:0005829, GO:0006468, GO:0007165, GO:0019901, GO:0019903, GO:0031625, GO:0031647, GO:0042149, GO:0042802, GO:0043066, GO:0044325, GO:0045824, GO:0050815, GO:0051683, GO:0070372, GO:0090128, GO:0090168, GO:0098978, GO:0140297, GO:0140311, GO:1900181, GO:1904262",A
1433Z_MOUSE,7EXE,P63101,"GO:0000122, GO:0001525, GO:0003016, GO:0005634, GO:0005829, GO:0006605, GO:0008039, GO:0019904, GO:0030324, GO:0035148, GO:0043067, GO:0070371, GO:0098686",A
1A17_ARATH,7DLW,Q9STR4,"GO:0009693, GO:0016847, GO:0042802",A
1A1C_MALDO,1B8G,P37821,"GO:0009693, GO:0016847",A
